	Seqs	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P04.bc14	23	P4	bc14	4	2	F	F2	R133	Root	Spirodela_polyrhiza_9192	3	SP9192	7	2.875	133
P03.bc44	12352	P2	bc44	3	6	D	D6	R134	Root	Spirodela_polyrhiza_9192	4	SP9192	8	1	134
P03.bc6	23553	P2	bc6	3	1	F	F1	R135	Root	Spirodela_polyrhiza_9192	5	SP9192	5	2.666666667	135
P01.bc81	32185	P1	bc81	1	11	A	A11	R136	Root	Londoltia_Punctata_7760	1	LP7760	6	1.666666667	136
P03.bc59	24051	P2	bc59	3	8	C	C8	R137	Root	Londoltia_Punctata_7760	2	LP7760	6	3.666666667	137
P01.bc18	32459	P1	bc18	1	3	B	B3	R138	Root	Londoltia_Punctata_7760	3	LP7760	6	1	138
P02.bc28	4636	P2	bc28	2	4	D	D4	R140	Root	Londoltia_Punctata_7760	4	LP7760	6	3	140
P03.bc73	53847	P2	bc73	3	10	A	A10	R141	Root	Londoltia_Punctata_0049	1	LP0049	5	2	141
P02.bc15	1707	P2	bc15	2	2	G	G2	R142	Root	Londoltia_Punctata_0049	2	LP0049	5	1.8	142
P01.bc14	53931	P1	bc14	1	2	F	F2	R143	Root	Londoltia_Punctata_0049	3	LP0049	5	2.333333333	143
P02.bc70	355	P2	bc70	2	9	F	F9	R144	Root	Londoltia_Punctata_0049	4	LP0049	5	1	144
P01.bc37	21807	P1	bc37	1	5	E	E5	R145	Root	Londoltia_Punctata_0049	5	LP0049	6	2.6	145
P02.bc20	926	P2	bc20	2	3	D	D3	R146	Root	Lemna_Turionifera_9109	1	LT9109	6	1	146
P02.bc18	1113	P2	bc18	2	3	B	B3	R147	Root	Lemna_Turionifera_9109	2	LT9109	5	1	147
P01.bc15	24681	P1	bc15	1	2	G	G2	R148	Root	Lemna_Turionifera_9109	3	LT9109	5	1	148
P01.bc29	18484	P1	bc29	1	4	E	E4	R149	Root	Lemna_Turionifera_9109	4	LT9109	5	1	149
P03.bc70	29761	P2	bc70	3	9	F	F9	R150	Root	Lemna_Turionifera_9109	5	LT9109	5	1	150
P03.bc57	33432	P2	bc57	3	8	A	A8	R151	Root	Lemna_Japonica_9250	1	LJ9250	5	1.6	151
P03.bc27	2249	P2	bc27	3	4	C	C4	R152	Root	Lemna_Japonica_9250	2	LJ9250	6	1	152
P04.bc9	23412	P4	bc9	4	2	A	A2	R153	Root	Lemna_Japonica_9250	3	LJ9250	5	2.75	153
P03.bc41	23834	P2	bc41	3	6	A	A6	R154	Root	Lemna_Japonica_9250	4	LJ9250	6	0.875	154
P02.bc95	3229	P2	bc95	2	12	G	G12	R155	Root	Lemna_Japonica_9250	5	LJ9250	5	1.166666667	155
P01.bc10	42477	P1	bc10	1	2	B	B2	R156	Root	Lemna_Minor_7123	2	LM7123	5	1	156
P01.bc91	19713	P1	bc91	1	12	C	C12	R157	Root	Lemna_Minor_7123	1	LM7123	5	1	157
P01.bc22	23334	P1	bc22	1	3	F	F3	R158	Root	Lemna_Minor_7123	3	LM7123	5	1	158
P01.bc80	25890	P1	bc80	1	10	H	H10	R159	Root	Lemna_Minor_7123	4	LM7123	5	1	159
P02.bc83	2360	P2	bc83	2	11	C	C11	R160	Root	Lemna_Minor_7123	5	LM7123	5	2.428571429	160
