	Experiment	Time	Time2	Plate	nr	Sample	Microbe	Compound	Compound2	Value	Relative	Slope
11485	1	T4	4	P1	1	X46	A28	Blank	Blank	0.347	1.464135021	5.054502382
11521	1	T5	5	P1	1	X46	A28	Blank	Blank	0.352	1.485232068	7.94527221
11557	1	T6	6	P1	1	X46	A28	Blank	Blank	0.422	1.780590717	3.58499617
11593	1	T0	0	P1	1	X47	A34	Blank	Blank	0.22	1	1.426043758
11629	1	T1	1	P1	1	X47	A34	Blank	Blank	0.415	1.886363636	-4.843079703
11665	1	T2	2	P1	1	X47	A34	Blank	Blank	0.347	1.577272727	4.279461825
11701	1	T3	3	P1	1	X47	A34	Blank	Blank	0.35	1.590909091	4.033408028
11737	1	T4	4	P1	1	X47	A34	Blank	Blank	0.427	1.940909091	5.826957052
11773	1	T5	5	P1	1	X47	A34	Blank	Blank	0.41	1.863636364	5.632845742
11809	1	T6	6	P1	1	X47	A34	Blank	Blank	0.457	2.077272727	5.222158113
11845	1	T0	0	P1	1	X48	A35	Blank	Blank	0.101	1	25.25000025
11881	1	T1	1	P1	1	X48	A35	Blank	Blank	0.105	1.03960396	0
11917	1	T2	2	P1	1	X48	A35	Blank	Blank	0.103	1.01980198	75.75000076
11953	1	T3	3	P1	1	X48	A35	Blank	Blank	0.105	1.03960396	NA
11989	1	T4	4	P1	1	X48	A35	Blank	Blank	0.105	1.03960396	-75.75000076
12025	1	T5	5	P1	1	X48	A35	Blank	Blank	0.105	1.03960396	126.2500013
12061	1	T6	6	P1	1	X48	A35	Blank	Blank	0.103	1.01980198	-8.581675325
12097	1	T0	0	P1	1	X49	A44	Control	Control	0.416	1	6.882138517
12133	1	T1	1	P1	1	X49	A44	Control	Control	0.491	1.180288462	11.53091697
12169	1	T2	2	P1	1	X49	A44	Control	Control	0.534	1.283653846	7.065742816
12205	1	T3	3	P1	1	X49	A44	Control	Control	0.517	1.242788462	7.255813977
12241	1	T4	4	P1	1	X49	A44	Control	Control	0.601	1.444711538	5.355332323
12277	1	T5	5	P1	1	X49	A44	Control	Control	0.615	1.478365385	8.225383369
12313	1	T6	6	P1	1	X49	A44	Control	Control	0.73	1.754807692	7.95200135
12349	1	T0	0	P1	1	X50	A51	Control	Control	0.353	1	3.199084
12385	1	T1	1	P1	1	X50	A51	Control	Control	0.486	1.376770538	5.259933766
12421	1	T2	2	P1	1	X50	A51	Control	Control	0.57	1.614730878	5.042857125
12457	1	T3	3	P1	1	X50	A51	Control	Control	0.54	1.529745042	8.390492356
12493	1	T4	4	P1	1	X50	A51	Control	Control	0.585	1.657223796	11.28169751
12529	1	T5	5	P1	1	X50	A51	Control	Control	0.624	1.767705382	6.926377258
12565	1	T6	6	P1	1	X50	A51	Control	Control	0.646	1.830028329	7.453572031
12601	1	T0	0	P1	1	X51	A52	Control	Control	0.384	1	4.036737852
12637	1	T1	1	P1	1	X51	A52	Control	Control	0.473	1.231770833	4.588462027
12673	1	T2	2	P1	1	X51	A52	Control	Control	0.574	1.494791667	4.014419611
12709	1	T3	3	P1	1	X51	A52	Control	Control	0.535	1.393229167	4.050632911
12745	1	T4	4	P1	1	X51	A52	Control	Control	0.661	1.721354167	5.152057208
12781	1	T5	5	P1	1	X51	A52	Control	Control	0.715	1.861979167	6.56903572
12817	1	T6	6	P1	1	X51	A52	Control	Control	0.681	1.7734375	7.994361693
12853	1	T0	0	P1	1	X52	A55	Control	Control	0.352	1	6.31794871
12889	1	T1	1	P1	1	X52	A55	Control	Control	0.427	1.213068182	-5.625570756
12925	1	T2	2	P1	1	X52	A55	Control	Control	0.457	1.298295455	-6.765761184
12961	1	T3	3	P1	1	X52	A55	Control	Control	0.406	1.153409091	13.53846151
12997	1	T4	4	P1	1	X52	A55	Control	Control	0.432	1.227272727	13.80215271
13033	1	T5	5	P1	1	X52	A55	Control	Control	0.458	1.301136364	16.26462683
13069	1	T6	6	P1	1	X52	A55	Control	Control	0.483	1.372159091	16.35729915
13105	1	T0	0	P1	1	X53	A65B	Control	Control	0.354	1	5.803278695
13141	1	T1	1	P1	1	X53	A65B	Control	Control	0.415	1.172316384	8.669932187
13177	1	T2	2	P1	1	X53	A65B	Control	Control	0.476	1.344632768	1.9235148
13213	1	T3	3	P1	1	X53	A65B	Control	Control	0.48	1.355932203	1.890833248
13249	1	T4	4	P1	1	X53	A65B	Control	Control	0.756	2.13559322	11.74151733
13285	1	T5	5	P1	1	X53	A65B	Control	Control	0.795	2.245762712	4.340929333
13321	1	T6	6	P1	1	X53	A65B	Control	Control	0.814	2.299435028	4.314740729
13357	1	T0	0	P1	1	X54	A69	Control	Control	0.099	1	3.349624057
13393	1	T1	1	P1	1	X54	A69	Control	Control	0.103	1.04040404	-0.074962139
13429	1	T2	2	P1	1	X54	A69	Control	Control	0.147	1.484848485	-3.293770643
13465	1	T3	3	P1	1	X54	A69	Control	Control	0.102	1.03030303	21.21428593
13501	1	T4	4	P1	1	X54	A69	Control	Control	0.1	1.01010101	49.5000005
13537	1	T5	5	P1	1	X54	A69	Control	Control	0.103	1.04040404	136.1250014
13573	1	T6	6	P1	1	X54	A69	Control	Control	0.103	1.04040404	-5.29863322
13609	1	T0	0	P1	1	X55	A69B	Control	Control	0.28	1	3.888133616
13645	1	T1	1	P1	1	X55	A69B	Control	Control	0.341	1.217857143	5.08146475
13681	1	T2	2	P1	1	X55	A69B	Control	Control	0.423	1.510714286	7.91125997
13717	1	T3	3	P1	1	X55	A69B	Control	Control	0.416	1.485714286	7.112214954
13753	1	T4	4	P1	1	X55	A69B	Control	Control	0.468	1.671428571	18.26086937
13789	1	T5	5	P1	1	X55	A69B	Control	Control	0.491	1.753571429	7.298578195
13825	1	T6	6	P1	1	X55	A69B	Control	Control	0.491	1.753571429	7.991271313
13861	1	T0	0	P1	1	X56	A88	Control	Control	0.301	1	5.128636898
13897	1	T1	1	P1	1	X56	A88	Control	Control	0.341	1.132890365	5.966349091
13933	1	T2	2	P1	1	X56	A88	Control	Control	0.415	1.378737542	6.65476191
13969	1	T3	3	P1	1	X56	A88	Control	Control	0.427	1.418604651	6.681818178
14005	1	T4	4	P1	1	X56	A88	Control	Control	0.493	1.637873754	41.04545398
14041	1	T5	5	P1	1	X56	A88	Control	Control	0.504	1.674418605	8.15517241
14077	1	T6	6	P1	1	X56	A88	Control	Control	0.504	1.674418605	9.195581793
14113	1	T0	0	P1	1	X57	A44	C1	Compound	0.288	1	4.965517239
14149	1	T1	1	P1	1	X57	A44	C1	Compound	0.346	1.201388889	6.8432169
14185	1	T2	2	P1	1	X57	A44	C1	Compound	0.404	1.402777778	3.488459997
14221	1	T3	3	P1	1	X57	A44	C1	Compound	0.424	1.472222222	2.895183631
14257	1	T4	4	P1	1	X57	A44	C1	Compound	0.545	1.892361111	-7.719038809
14293	1	T5	5	P1	1	X57	A44	C1	Compound	0.499	1.732638889	7.259954127
14329	1	T6	6	P1	1	X57	A44	C1	Compound	0.516	1.791666667	7.847036184
14365	1	T0	0	P1	1	X58	A51	C1	Compound	0.259	1	4.921575025
14401	1	T1	1	P1	1	X58	A51	C1	Compound	0.332	1.281853282	-5.29899496
14437	1	T2	2	P1	1	X58	A51	C1	Compound	0.356	1.374517375	-4.694029821
14473	1	T3	3	P1	1	X58	A51	C1	Compound	0.313	1.208494208	8.430629655
14509	1	T4	4	P1	1	X58	A51	C1	Compound	0.339	1.308880309	6.708791216
14545	1	T5	5	P1	1	X58	A51	C1	Compound	0.374	1.444015444	10.18671477
14581	1	T6	6	P1	1	X58	A51	C1	Compound	0.416	1.606177606	9.161927263
14617	1	T0	0	P1	1	X59	A52	C1	Compound	0.251	1	2.587262228
14653	1	T1	1	P1	1	X59	A52	C1	Compound	0.346	1.378486056	2.805514155
14689	1	T2	2	P1	1	X59	A52	C1	Compound	0.445	1.772908367	2.848140991
14725	1	T3	3	P1	1	X59	A52	C1	Compound	0.401	1.597609562	4.092933843
14761	1	T4	4	P1	1	X59	A52	C1	Compound	0.492	1.960159363	7.378735926
14797	1	T5	5	P1	1	X59	A52	C1	Compound	0.483	1.924302789	5.375149795
14833	1	T6	6	P1	1	X59	A52	C1	Compound	0.532	2.119521912	5.04337514
14869	1	T0	0	P1	1	X60	A55	C1	Compound	0.104	1	7.428571794
14905	1	T1	1	P1	1	X60	A55	C1	Compound	0.109	1.048076923	-36.00000077
14941	1	T2	2	P1	1	X60	A55	C1	Compound	0.105	1.009615385	-52.00000333
14977	1	T3	3	P1	1	X60	A55	C1	Compound	0.106	1.019230769	-51.99999792
15013	1	T4	4	P1	1	X60	A55	C1	Compound	0.104	1	0
15049	1	T5	5	P1	1	X60	A55	C1	Compound	0.105	1.009615385	207.9999917
15085	1	T6	6	P1	1	X60	A55	C1	Compound	0.104	1	-14.07058826
15121	1	T0	0	P1	1	X61	A65B	C1	Compound	0.598	1	1.520645627
15157	1	T1	1	P1	1	X61	A65B	C1	Compound	0.683	1.142140468	1.524253466
15193	1	T2	2	P1	1	X61	A65B	C1	Compound	1.262	2.110367893	-1.2578881
15229	1	T3	3	P1	1	X61	A65B	C1	Compound	1.341	2.242474916	-6.461781093
15265	1	T4	4	P1	1	X61	A65B	C1	Compound	1.252	2.093645485	-8.866677563
15301	1	T5	5	P1	1	X61	A65B	C1	Compound	1.156	1.933110368	5.982227157
15337	1	T6	6	P1	1	X61	A65B	C1	Compound	1.131	1.891304348	5.428381241
15373	1	T0	0	P1	1	X62	A69	C1	Compound	0.653	1	1.17842949
15409	1	T1	1	P1	1	X62	A69	C1	Compound	0.549	0.840735069	1.190495806
15445	1	T2	2	P1	1	X62	A69	C1	Compound	1.365	2.090352221	-13.05689111
15481	1	T3	3	P1	1	X62	A69	C1	Compound	1.294	1.981623277	-13.91102747
15517	1	T4	4	P1	1	X62	A69	C1	Compound	1.309	2.004594181	-11.44962243
15553	1	T5	5	P1	1	X62	A69	C1	Compound	1.243	1.903522205	6.235887953
15589	1	T6	6	P1	1	X62	A69	C1	Compound	1.196	1.831546708	5.268778255
15625	1	T0	0	P1	1	X63	A69B	C1	Compound	0.661	1	1.049053747
15661	1	T1	1	P1	1	X63	A69B	C1	Compound	0.495	0.748865356	1.086608353
15697	1	T2	2	P1	1	X63	A69B	C1	Compound	1.403	2.122541604	9.790980911
15733	1	T3	3	P1	1	X63	A69B	C1	Compound	1.469	2.222390318	-2.470104669
15769	1	T4	4	P1	1	X63	A69B	C1	Compound	1.538	2.32677761	-9.262671428
15805	1	T5	5	P1	1	X63	A69B	C1	Compound	1.454	2.199697428	4.68750394
15841	1	T6	6	P1	1	X63	A69B	C1	Compound	1.397	2.113464448	4.290192226
15877	1	T0	0	P1	1	X64	A88	C1	Compound	0.585	1	1.379812897
15913	1	T1	1	P1	1	X64	A88	C1	Compound	0.458	0.782905983	1.289640322
15949	1	T2	2	P1	1	X64	A88	C1	Compound	1.06	1.811965812	3.359938849
15985	1	T3	3	P1	1	X64	A88	C1	Compound	1.32	2.256410256	48.0821916
16021	1	T4	4	P1	1	X64	A88	C1	Compound	1.338	2.287179487	-19.46319017
16057	1	T5	5	P1	1	X64	A88	C1	Compound	1.336	2.283760684	4.366910232
16093	1	T6	6	P1	1	X64	A88	C1	Compound	1.291	2.206837607	3.766030791
16129	1	T0	0	P1	1	X65	A44	C2	Compound	0.609	1	1.121463662
16165	1	T1	1	P1	1	X65	A44	C2	Compound	0.42	0.689655172	1.213997674
16201	1	T2	2	P1	1	X65	A44	C2	Compound	1.171	1.922824302	6.95647772
16237	1	T3	3	P1	1	X65	A44	C2	Compound	1.205	1.97865353	5.514401502
16273	1	T4	4	P1	1	X65	A44	C2	Compound	1.329	2.18226601	-13.23070184
16309	1	T5	5	P1	1	X65	A44	C2	Compound	1.275	2.093596059	5.120125012
16345	1	T6	6	P1	1	X65	A44	C2	Compound	1.238	2.032840722	5.419922734
16381	1	T0	0	P1	1	X66	A51	C2	Compound	0.102	1	3.625592416
16417	1	T1	1	P1	1	X66	A51	C2	Compound	0.105	1.029411765	-0.084670729
16453	1	T2	2	P1	1	X66	A51	C2	Compound	0.147	1.441176471	-3.550799377
16489	1	T3	3	P1	1	X66	A51	C2	Compound	0.104	1.019607843	24.1578948
16525	1	T4	4	P1	1	X66	A51	C2	Compound	0.102	1	0
16561	1	T5	5	P1	1	X66	A51	C2	Compound	0.107	1.049019608	40.79999987
16597	1	T6	6	P1	1	X66	A51	C2	Compound	0.102	1	9.738095243
16633	1	T0	0	P1	1	X67	A52	C2	Compound	0.409	1	1.276352289
16669	1	T1	1	P1	1	X67	A52	C2	Compound	0.325	0.794621027	1.316540322
16705	1	T2	2	P1	1	X67	A52	C2	Compound	0.787	1.924205379	8.328438841
16741	1	T3	3	P1	1	X67	A52	C2	Compound	0.832	2.034229829	-2.874209436
16777	1	T4	4	P1	1	X67	A52	C2	Compound	0.885	2.163814181	-6.851150129
16813	1	T5	5	P1	1	X67	A52	C2	Compound	0.812	1.985330073	5.753667821
16849	1	T6	6	P1	1	X67	A52	C2	Compound	0.768	1.877750611	4.8656814
16885	1	T0	0	P1	1	X68	A55	C2	Compound	0.486	1	1.380068712
16921	1	T1	1	P1	1	X68	A55	C2	Compound	0.344	0.70781893	1.535063033
16957	1	T2	2	P1	1	X68	A55	C2	Compound	0.81	1.666666667	6.203240064
16993	1	T3	3	P1	1	X68	A55	C2	Compound	0.879	1.808641975	0.840709273
17029	1	T4	4	P1	1	X68	A55	C2	Compound	0.966	1.987654321	-7.410054367
17065	1	T5	5	P1	1	X68	A55	C2	Compound	0.887	1.825102881	6.888768663
17101	1	T6	6	P1	1	X68	A55	C2	Compound	0.837	1.722222222	6.402591326
17137	1	T0	0	P1	1	X69	A65B	C2	Compound	0.458	1	1.549101935
17173	1	T1	1	P1	1	X69	A65B	C2	Compound	0.38	0.829694323	1.560870744
17209	1	T2	2	P1	1	X69	A65B	C2	Compound	0.806	1.759825328	6.330369232
17245	1	T3	3	P1	1	X69	A65B	C2	Compound	0.891	1.945414847	-3.384236431
17281	1	T4	4	P1	1	X69	A65B	C2	Compound	0.949	2.072052402	-7.22062883
17317	1	T5	5	P1	1	X69	A65B	C2	Compound	0.862	1.88209607	6.382880655
17353	1	T6	6	P1	1	X69	A65B	C2	Compound	0.831	1.81441048	5.800837555
17389	1	T0	0	P1	1	X70	A69	C2	Compound	0.423	1	1.965998043
17425	1	T1	1	P1	1	X70	A69	C2	Compound	0.351	0.829787234	2.105358638
17461	1	T2	2	P1	1	X70	A69	C2	Compound	0.651	1.539007092	3.445141354
17497	1	T3	3	P1	1	X70	A69	C2	Compound	0.672	1.588652482	3.453032745
17533	1	T4	4	P1	1	X70	A69	C2	Compound	0.854	2.01891253	-36.74710347
17569	1	T5	5	P1	1	X70	A69	C2	Compound	0.837	1.978723404	5.609610516
17605	1	T6	6	P1	1	X70	A69	C2	Compound	0.839	1.983451537	4.898517898
17641	1	T0	0	P1	1	X71	A69B	C2	Compound	0.425	1	1.228672168
17677	1	T1	1	P1	1	X71	A69B	C2	Compound	0.348	0.818823529	1.255894372
17713	1	T2	2	P1	1	X71	A69B	C2	Compound	0.853	2.007058824	5.586191233
17749	1	T3	3	P1	1	X71	A69B	C2	Compound	0.818	1.924705882	0.074500435
17785	1	T4	4	P1	1	X71	A69B	C2	Compound	0.911	2.143529412	-6.051303307
17821	1	T5	5	P1	1	X71	A69B	C2	Compound	0.819	1.927058824	5.755792431
17857	1	T6	6	P1	1	X71	A69B	C2	Compound	0.848	1.995294118	5.526004726
17893	1	T0	0	P1	1	X72	A88	C2	Compound	0.106	1	39.75000006
17929	1	T1	1	P1	1	X72	A88	C2	Compound	0.106	1	37.857143
17965	1	T2	2	P1	1	X72	A88	C2	Compound	0.11	1.037735849	-45.4285727
18001	1	T3	3	P1	1	X72	A88	C2	Compound	0.111	1.047169811	-48.92307759
18037	1	T4	4	P1	1	X72	A88	C2	Compound	0.108	1.018867925	-158.9999876
18073	1	T5	5	P1	1	X72	A88	C2	Compound	0.107	1.009433962	583.0000163
18109	1	T6	6	P1	1	X72	A88	C2	Compound	0.107	1.009433962	-4.444844269
18145	1	T0	0	P1	1	X73	A44	C3	Compound	0.317	1	2.894376431
18181	1	T1	1	P1	1	X73	A44	C3	Compound	0.454	1.432176656	-6.403822611
18217	1	T2	2	P1	1	X73	A44	C3	Compound	0.405	1.277602524	-9.405494479
18253	1	T3	3	P1	1	X73	A44	C3	Compound	0.355	1.119873817	5.849377787
18289	1	T4	4	P1	1	X73	A44	C3	Compound	0.36	1.135646688	1.845655278
18325	1	T5	5	P1	1	X73	A44	C3	Compound	0.441	1.391167192	4.747163958
18361	1	T6	6	P1	1	X73	A44	C3	Compound	0.678	2.138801262	5.264505879
18397	1	T0	0	P1	1	X74	A51	C3	Compound	0.273	1	2.521340383
18433	1	T1	1	P1	1	X74	A51	C3	Compound	0.429	1.571428571	8.447882681
18469	1	T2	2	P1	1	X74	A51	C3	Compound	0.464	1.6996337	8.52080778
18505	1	T3	3	P1	1	X74	A51	C3	Compound	0.448	1.641025641	11.92718445
18541	1	T4	4	P1	1	X74	A51	C3	Compound	0.481	1.761904762	16.88659787
18577	1	T5	5	P1	1	X74	A51	C3	Compound	0.475	1.73992674	7.09183941
18613	1	T6	6	P1	1	X74	A51	C3	Compound	0.497	1.820512821	6.550876652
18649	1	T0	0	P1	1	X75	A52	C3	Compound	0.307	1	2.749045984
18685	1	T1	1	P1	1	X75	A52	C3	Compound	0.474	1.543973941	16.70207249
18721	1	T2	2	P1	1	X75	A52	C3	Compound	0.465	1.51465798	5.774100023
18757	1	T3	3	P1	1	X75	A52	C3	Compound	0.481	1.566775244	4.432840819
18793	1	T4	4	P1	1	X75	A52	C3	Compound	0.558	1.817589577	-13.33494204
18829	1	T5	5	P1	1	X75	A52	C3	Compound	0.524	1.706840391	7.727315363
18865	1	T6	6	P1	1	X75	A52	C3	Compound	0.528	1.719869707	8.310459001
18901	1	T0	0	P1	1	X75	A55	C3	Compound	0.288	1	3.750591954
18937	1	T1	1	P1	1	X75	A55	C3	Compound	0.393	1.364583333	-12.77419361
18973	1	T2	2	P1	1	X75	A55	C3	Compound	0.365	1.267361111	6.230769247
19009	1	T3	3	P1	1	X75	A55	C3	Compound	0.349	1.211805556	6.748377801
19045	1	T4	4	P1	1	X75	A55	C3	Compound	0.413	1.434027778	432.0000276
19081	1	T5	5	P1	1	X75	A55	C3	Compound	0.414	1.4375	12.57142857
19117	1	T6	6	P1	1	X75	A55	C3	Compound	0.414	1.4375	10.16662917
19153	1	T0	0	P1	1	X77	A65B	C3	Compound	0.296	1	3.995500563
19189	1	T1	1	P1	1	X77	A65B	C3	Compound	0.404	1.364864865	21.14285739
19225	1	T2	2	P1	1	X77	A65B	C3	Compound	0.424	1.432432432	3.285916051
19261	1	T3	3	P1	1	X77	A65B	C3	Compound	0.42	1.418918919	3.249894139
19297	1	T4	4	P1	1	X77	A65B	C3	Compound	0.555	1.875	7.109170311
19333	1	T5	5	P1	1	X77	A65B	C3	Compound	0.541	1.827702703	5.914354564
19369	1	T6	6	P1	1	X77	A65B	C3	Compound	0.599	2.023648649	5.470371031
19405	1	T0	0	P1	1	X78	A69	C3	Compound	0.101	1	3.96394384
19441	1	T1	1	P1	1	X78	A69	C3	Compound	0.104	1.02970297	0
19477	1	T2	2	P1	1	X78	A69	C3	Compound	0.142	1.405940594	-3.97637795
19513	1	T3	3	P1	1	X78	A69	C3	Compound	0.104	1.02970297	-75.75000076
19549	1	T4	4	P1	1	X78	A69	C3	Compound	0.102	1.00990099	151.5000015
19585	1	T5	5	P1	1	X78	A69	C3	Compound	0.102	1.00990099	303.000003
19621	1	T6	6	P1	1	X78	A69	C3	Compound	0.103	1.01980198	-9.363841986
19657	1	T0	0	P1	1	X79	A69B	C3	Compound	0.332	1	4.259785873
19693	1	T1	1	P1	1	X79	A69B	C3	Compound	0.384	1.156626506	4.239009914
19729	1	T2	2	P1	1	X79	A69B	C3	Compound	0.483	1.454819277	3.336310872
19765	1	T3	3	P1	1	X79	A69B	C3	Compound	0.536	1.614457831	-11.92265195
19801	1	T4	4	P1	1	X79	A69B	C3	Compound	0.498	1.5	4.733739183
19837	1	T5	5	P1	1	X79	A69B	C3	Compound	0.484	1.457831325	8.046304362
19873	1	T6	6	P1	1	X79	A69B	C3	Compound	0.587	1.768072289	7.571624707
19909	1	T0	0	P1	1	X80	A88	C3	Compound	0.389	1	11.18064427
19945	1	T1	1	P1	1	X80	A88	C3	Compound	0.418	1.074550129	5.06901545
19981	1	T2	2	P1	1	X80	A88	C3	Compound	0.458	1.177377892	5.441787004
20017	1	T3	3	P1	1	X80	A88	C3	Compound	0.562	1.444730077	24.41093108
20053	1	T4	4	P1	1	X80	A88	C3	Compound	0.582	1.496143959	6.069178694
20089	1	T5	5	P1	1	X80	A88	C3	Compound	0.593	1.524421594	8.080440155
20125	1	T6	6	P1	1	X80	A88	C3	Compound	0.688	1.768637532	7.95815223
20161	1	T0	0	P1	1	X81	A44	C4	Compound	0.337	1	4.356440881
20197	1	T1	1	P1	1	X81	A44	C4	Compound	0.453	1.34421365	12.60433071
20233	1	T2	2	P1	1	X81	A44	C4	Compound	0.451	1.338278932	10.96085998
20269	1	T3	3	P1	1	X81	A44	C4	Compound	0.491	1.456973294	23.08972275
20305	1	T4	4	P1	1	X81	A44	C4	Compound	0.51	1.513353116	3.900855557
20341	1	T5	5	P1	1	X81	A44	C4	Compound	0.519	1.540059347	6.683130126
20377	1	T6	6	P1	1	X81	A44	C4	Compound	0.648	1.922848665	5.655438334
20413	1	T0	0	P1	1	X82	A51	C4	Compound	0.27	1	1.587598556
20449	1	T1	1	P1	1	X82	A51	C4	Compound	0.443	1.640740741	-4.565430485
20485	1	T2	2	P1	1	X82	A51	C4	Compound	0.358	1.325925926	3.405513051
20521	1	T3	3	P1	1	X82	A51	C4	Compound	0.374	1.385185185	3.438398283
20557	1	T4	4	P1	1	X82	A51	C4	Compound	0.491	1.818518519	4.652944
20593	1	T5	5	P1	1	X82	A51	C4	Compound	0.501	1.855555556	5.262828225
20629	1	T6	6	P1	1	X82	A51	C4	Compound	0.587	2.174074074	5.286196559
20665	1	T0	0	P1	1	X83	A52	C4	Compound	0.294	1	3.018769321
20701	1	T1	1	P1	1	X83	A52	C4	Compound	0.422	1.43537415	0.711519817
20737	1	T2	2	P1	1	X83	A52	C4	Compound	0.48	1.632653061	2.701792003
20773	1	T3	3	P1	1	X83	A52	C4	Compound	0.427	1.452380952	4.638036805
20809	1	T4	4	P1	1	X83	A52	C4	Compound	0.52	1.768707483	3.352293576
20845	1	T5	5	P1	1	X83	A52	C4	Compound	0.535	1.819727891	4.923921325
20881	1	T6	6	P1	1	X83	A52	C4	Compound	0.665	2.261904762	4.419284052
20917	1	T0	0	P1	1	X84	A55	C4	Compound	0.107	1	49.38461522
20953	1	T1	1	P1	1	X84	A55	C4	Compound	0.11	1.028037383	160.4999896
20989	1	T2	2	P1	1	X84	A55	C4	Compound	0.111	1.037383178	-160.4999896
21025	1	T3	3	P1	1	X84	A55	C4	Compound	0.111	1.037383178	0
21061	1	T4	4	P1	1	X84	A55	C4	Compound	0.11	1.028037383	-53.49999652
21097	1	T5	5	P1	1	X84	A55	C4	Compound	0.111	1.037383178	133.7499985
21133	1	T6	6	P1	1	X84	A55	C4	Compound	0.109	1.018691589	6.912252208
21169	1	T0	0	P1	1	X85	A65B	C4	Compound	0.496	1	1.410903068
21205	1	T1	1	P1	1	X85	A65B	C4	Compound	0.339	0.683467742	2.874578958
21241	1	T2	2	P1	1	X85	A65B	C4	Compound	0.583	1.175403226	8.156564282
21277	1	T3	3	P1	1	X85	A65B	C4	Compound	0.651	1.3125	9.270758142
21313	1	T4	4	P1	1	X85	A65B	C4	Compound	0.704	1.419354839	9.898882399
21349	1	T5	5	P1	1	X85	A65B	C4	Compound	0.758	1.528225806	9.595131143
21385	1	T6	6	P1	1	X85	A65B	C4	Compound	0.804	1.620967742	5.950948402
21421	1	T0	0	P1	1	X86	A69	C4	Compound	0.455	1	1.51359007
21457	1	T1	1	P1	1	X86	A69	C4	Compound	0.312	0.685714286	1.709881382
21493	1	T2	2	P1	1	X86	A69	C4	Compound	0.666	1.463736264	4.072774291
21529	1	T3	3	P1	1	X86	A69	C4	Compound	0.817	1.795604396	6.348005501
21565	1	T4	4	P1	1	X86	A69	C4	Compound	0.876	1.925274725	4.845939174
21601	1	T5	5	P1	1	X86	A69	C4	Compound	0.959	2.107692308	4.497680049
21637	1	T6	6	P1	1	X86	A69	C4	Compound	1.063	2.336263736	3.602966432
21673	1	T0	0	P1	1	X87	A69B	C4	Compound	0.449	1	1.834290818
21709	1	T1	1	P1	1	X87	A69B	C4	Compound	0.338	0.752783964	1.73151865
21745	1	T2	2	P1	1	X87	A69B	C4	Compound	0.641	1.427616927	2.58714558
21781	1	T3	3	P1	1	X87	A69B	C4	Compound	0.851	1.89532294	4.142879834
21817	1	T4	4	P1	1	X87	A69B	C4	Compound	0.982	2.187082405	7.28343653
21853	1	T5	5	P1	1	X87	A69B	C4	Compound	1.064	2.369710468	3.92479581
21889	1	T6	6	P1	1	X87	A69B	C4	Compound	1.099	2.44766147	3.124613512
21925	1	T0	0	P1	1	X88	A88	C4	Compound	0.499	1	0.419900483
21961	1	T1	1	P1	1	X88	A88	C4	Compound	0.309	0.619238477	3.506701824
21997	1	T2	2	P1	1	X88	A88	C4	Compound	0.522	1.046092184	22.38402629
22033	1	T3	3	P1	1	X88	A88	C4	Compound	0.532	1.066132265	15.83993954
22069	1	T4	4	P1	1	X88	A88	C4	Compound	0.563	1.128256513	16.6087278
22105	1	T5	5	P1	1	X88	A88	C4	Compound	0.595	1.19238477	24.61964059
22141	1	T6	6	P1	1	X88	A88	C4	Compound	0.623	1.248496994	8.511111499
22177	1	T0	0	P1	1	X89	A44	Blank	Blank	0.429	1	1.624192617
22213	1	T1	1	P1	1	X89	A44	Blank	Blank	0.297	0.692307692	2.346178916
22249	1	T2	2	P1	1	X89	A44	Blank	Blank	0.556	1.296037296	6.487588781
22285	1	T3	3	P1	1	X89	A44	Blank	Blank	0.627	1.461538462	9.884600438
22321	1	T4	4	P1	1	X89	A44	Blank	Blank	0.688	1.603729604	26.67357532
22357	1	T5	5	P1	1	X89	A44	Blank	Blank	0.706	1.645687646	8.348730864
22393	1	T6	6	P1	1	X89	A44	Blank	Blank	0.72	1.678321678	8.256157178
22429	1	T0	0	P1	1	X90	A51	Blank	Blank	0.101	1	75.75000076
22465	1	T1	1	P1	1	X90	A51	Blank	Blank	0.103	1.01980198	75.75000076
22501	1	T2	2	P1	1	X90	A51	Blank	Blank	0.103	1.01980198	-21.64285736
22537	1	T3	3	P1	1	X90	A51	Blank	Blank	0.105	1.03960396	-43.28571472
22573	1	T4	4	P1	1	X90	A51	Blank	Blank	0.102	1.00990099	151.5000015
22609	1	T5	5	P1	1	X90	A51	Blank	Blank	0.103	1.01980198	277.7500028
22645	1	T6	6	P1	1	X90	A51	Blank	Blank	0.103	1.01980198	24.96791059
22681	1	T0	0	P1	1	X91	A52	Blank	Blank	0.36	1	3.365135388
22717	1	T1	1	P1	1	X91	A52	Blank	Blank	0.324	0.9	2.524564885
22753	1	T2	2	P1	1	X91	A52	Blank	Blank	0.473	1.313888889	3.236555594
22789	1	T3	3	P1	1	X91	A52	Blank	Blank	0.609	1.691666667	6.581352857
22825	1	T4	4	P1	1	X91	A52	Blank	Blank	0.691	1.919444444	0
22861	1	T5	5	P1	1	X91	A52	Blank	Blank	0.689	1.913888889	6.004793257
22897	1	T6	6	P1	1	X91	A52	Blank	Blank	0.691	1.919444444	4.874526599
22933	1	T0	0	P1	1	X92	A55	Blank	Blank	0.448	1	1.035822177
22969	1	T1	1	P1	1	X92	A55	Blank	Blank	0.335	0.747767857	3.379191257
