"Species" "Microbiome" "Subsample" "Stile_diameter" "Endodermis_diameter" "CCL1_diameter" "CCL2_diameter" "CCL3_diameter" "CCL4_diameter" "Exodermis_diameter" "Epidermis_diameter" "Max_diameter" "Stile_cell" "Endodermis_n_cell" "CCL1_n_cell" "CCL2__n_cell" "CCL3_n_cell" "CCL4_n_cell" "Exodermis_n_cell" "Epidermis_n_cell" "Aerenchyma_mean_area" "Aerenchyma_n" "CCL" "root_plant"
"123" "SP5543" "B+" 3 8.238775 4.662548 14.917789 8.456954 8.436712571 0 21.99373188 7.928791016 152.1830175 8 10 10 10 10 0 23 33 248.825916 10 7 2.2
"124" "SP5543" "B+" 4 5.354965 2.662333333 14.69151967 8.140057714 0 0 15.24675955 11.87283599 119.0013125 6 6 6 6 0 0 18 24 253.7441183 6 6 3.4
"125" "SP5543" "B+" 5 8.75598125 3.990015 13.52057125 11.14309875 8.765627083 0 32.48717 17.19233184 95.7093675 8 8 8 8 3 0 20 29 100.9398 8 7 3
"126" "SP7498" "B+" 1 6.740908333 3.379415 11.17955467 7.098847714 9.791754286 0 16.92940765 7.213475882 141.6438775 7 6 6 6 2 0 16 34 301.31703 6 7 4.333333333
"127" "SP7498" "B+" 2 7.52239875 3.92801875 13.45951875 8.582075 13.14304625 0 32.01340685 14.4313803 189.9394275 8 8 8 8 8 0 22 28 734.2571988 8 7 2.2
"128" "SP7498" "B+" 5 7.52239875 3.92801875 13.45951875 8.582075 13.14304625 0 32.01340685 14.4313803 189.9394275 8 8 8 8 8 0 22 28 734.2571988 8 7 2
"129" "SP7498" "B+" 3 7.018355714 3.44273 15.38469571 10.32819 11.96348714 0 42.49521 10.64242824 205.6770725 7 7 7 7 7 1 21 34 976.8350738 8 8 2.5
"130" "SP7498" "B+" 4 4.76336 2.277301667 12.937025 7.526405 6.040508333 0 26.46759563 9.510816683 137.5482175 7 6 6 6 1 0 15 26 341.7413767 6 7 1
"131" "SP9192" "B+" 1 6.005668333 4.416653095 14.08833714 9.697618571 11.66825286 0 23.49130227 9.643663144 160.672225 6 7 7 7 5 0 22 24 500.0743929 7 7 2.666666667
"132" "SP9192" "B+" 2 6.94305875 4.476745536 11.57958 10.34458571 0 0 26.04650733 6.565379854 134.83366 7 7 7 7 0 0 15 32 295.3728457 7 6 2.5
"133" "SP9192" "B+" 3 4.822988 7.092257714 10.28756571 5.050943571 8.36556 0 19.89633318 7.935985766 128.689035 5 7 7 7 6 0 22 38 239.2911829 7 7 2.875
"134" "SP9192" "B+" 4 6.075895714 3.750514286 13.19429125 8.2328725 8.820074821 0 21.61286343 7.927664111 142.039745 7 8 8 8 7 0 24 36 363.7419675 8 8 1
"135" "SP9192" "B+" 5 7.0819 4.257584286 23.63335714 0 0 0 35.26618011 9.759644862 161.706515 6 7 7 0 0 0 12 21 156.5269257 7 5 2.666666667
"136" "LP7760" "B+" 1 8.69039 4.9972575 15.45427875 9.52027375 0 0 28.857592 8.871124923 154.93457 8 8 8 7 0 0 15 26 249.4008863 7 6 1.666666667
"137" "LP7760" "B+" 2 8.1144275 4.1028025 12.17759125 5.716172083 0 0 17.88385417 12.53633708 124.28179 8 8 8 3 0 0 16 24 151.8515425 7 5 3.666666667
"138" "LP7760" "B+" 3 8.821595 4.42421875 13.69336375 7.07060625 0 0 26.83509507 8.972355047 141.741572 8 8 8 8 0 0 15 31 207.4903863 8 7 1
"139" "LP7760" "B+" 4 10.9999375 7.422199167 20.51969444 6.247940889 0 0 35.20850212 10.16202396 181.1205962 8 9 8 8 0 0 17 25 294.0748571 6 6 2
"140" "LP7760" "B+" 5 7.640305 4.42791375 15.24998625 7.3540525 0 0 34.02217688 9.692467548 159.99064 8 8 8 8 0 0 15 28 226.7151544 8 6 3
"141" "LP0049" "B+" 1 5.906984286 3.854582857 7.525612857 0 0 0 23.38164 6.235454375 96.2849975 7 7 7 0 0 0 7 17 12.12366857 6 5 2
"142" "LP0049" "B+" 2 7.805538182 6.040696364 14.44104 0 0 0 32.37435818 15.63397377 155.477495 11 11 11 0 0 0 11 20 72.426159 10 5 1.8
"143" "LP0049" "B+" 3 8.37946125 3.48270375 16.77398722 0 0 0 24.85451361 7.597014621 126.0868875 8 8 9 0 0 0 12 22 34.17636 8 5 2.333333333
"144" "LP0049" "B+" 4 9.370357778 5.853161222 18.59838 0 0 0 25.550411 5.599594167 130.7121325 9 10 10 0 0 0 13 24 48.67636636 11 5 1
"145" "LP0049" "B+" 5 7.57982375 3.5415175 13.8986025 8.288129583 0 0 21.29827608 5.26094798 123.0936225 8 8 8 6 0 0 17 23 110.1964788 7 6 2.6
"146" "LT9109" "B+" 1 6.4672125 3.51508 12.8466425 0 0 0 30.902935 19.51310529 145.1763625 8 8 8 0 0 0 8 17 67.99961125 7 6 1
"147" "LT9109" "B+" 2 7.62257125 4.12506875 17.93507625 0 0 0 36.64235125 16.849005 171.71171 8 8 8 0 0 0 12 20 137.1662475 8 5 1.1
"148" "LT9109" "B+" 3 10.68267125 3.31386875 11.864966 0 0 0 32.54100829 18.87781183 157.763236 8 5 10 1 0 0 8 18 66.65202222 9 5 1
"149" "LT9109" "B+" 4 7.147242857 3.168184286 10.93024143 0 0 0 40.93120518 15.41459069 155.4832975 7 7 7 0 0 0 8 18 38.51580286 7 5 1
"150" "LT9109" "B+" 5 6.4282375 2.832540278 10.99533333 0 0 0 29.14176667 17.10817281 134.3966275 8 9 9 0 0 0 11 18 37.998895 8 5 1
"151" "LJ9250" "B+" 1 7.44089 4.222182222 14.93244333 0 0 0 40.98329667 14.24563678 166.8146675 9 9 9 0 0 0 9 20 64.7154725 8 5 1.6
"152" "LJ9250" "B+" 2 7.44089 4.222182222 14.93244333 0 0 0 40.98329667 14.24563678 166.8146675 9 9 9 0 0 0 9 20 64.7154725 8 5 1
"153" "LJ9250" "B+" 3 8.47354 3.65929 13.55600222 16.99351778 0 0 22.5482875 14.29459355 163.97657 9 9 9 1 0 0 8 19 55.33829857 7 6 2.75
