	Species	Microbiome	ID	Nutrition	Subsample	cell_layer_n	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Arenquima_mean_area	Arenquima_N
105	SI7820	B+	211	Low	1	7	7.726904286	3.748784286	15.27229429	10.79416857	9.172126571	0	26.20602779	10.3361514	167.1529475	7	7	7	7	5	0	19	32	669.3948743	7
106	SI7820	B+	212	Low	2	6	8.199577143	3.688831429	10.88058429	8.395274286	0	0	23.20773848	7.570388375	125.6532425	7	7	7	7	1	0	10	21	232.6256557	7
108	SI7820	B+	213.5	Low	4	7	7.351195714	3.981237143	14.62840571	9.776764286	9.733553143	0	25.62800775	9.01936375	163.8247	7	7	7	7	5	0	16	32	559.6406557	7
109	SI7820	B+	214	Low	5	7	5.607844444	6.686120556	16.44204125	10.94529946	7.492269286	0	24.28659237	11.16076463	165.1126675	9	8	8	2	4	0	19	30	609.3970657	7
110	SP9509	B+	215	Low	1	7	7.663508333	3.561518333	15.03797476	12.73357524	2.660748333	0	24.39942278	7.882296162	145.945355	6	6	7	6	2	0	18	33	465.27474	6
111	SP9509	B+	216	Low	2	7	6.689008571	3.660952679	10.57433875	5.672118571	7.133357143	0	23.77960151	9.571199778	215.088515	7	8	7	7	7	1	2	32	357.3771757	7
112	SP9509	B+	216.5	Low	3	7	6.627054286	3.845528571	11.88481143	7.711879464	15.83064482	0	24.53671	8.654654241	78.806465	7	7	7	7	7	0	21	32	629.9374414	7
113	SP9509	B+	217	Low	4	7	7.560618571	3.34423	15.36753	9.634565714	5.595832381	0	26.27080583	10.17250063	157.7886875	7	7	7	7	3	0	20	32	512.4065443	7
114	SP9509	B+	218	Low	5	7	8.44116	3.25580875	15.38741375	9.80795625	8.15978875	0	23.2154675	9.561305667	157.26458	8	8	8	8	4	0	18	30	431.5418063	8
115	LP8539	B+	221	Low	1	5.1	10.09567125	3.965815417	13.78015833	0	0	0	26.74141625	15.8724498	146.9239925	8	9	8	0	0	0	8	19	47.14491286	7
116	LP8539	B+	222	Low	2	5	13.364106	5.322396	14.787292	0	0	0	22.71317517	20.08133768	155.6098925	10	10	10	0	0	0	12	19	62.407083	10
117	LP0049	B+	231	Low	1	6	8.178975	3.69072375	13.36489375	5.1286675	0	0	14.73831846	4.033396993	98.2889	8	8	8	1	0	0	13	33	41.13883125	8
118	LP0049	B+	232	Low	2	6	10.063825	4.447629	16.797613	8.742358714	0	0	20.88334252	7.633756348	138.23344	8	10	10	7	0	0	17	24	117.991479	10
119	LP0049	B+	233	Low	3	5	7.27495	3.338777143	15.20879857	0	0	0	21.79251065	7.040187115	109.2244675	7	7	7	0	0	0	11	19	37.06527143	7
120	LP0049	B+	234	Low	4	6	9.79249875	3.86534875	15.79543875	10.42348946	0	0	22.25302554	7.724272212	138.70909	8	8	8	7	0	0	16	26	145.7624763	8
121	LJ9250	B+	235	Low	1	5	6.699535556	3.574825556	12.12376111	0	0	0	23.46310578	17.3115995	126.0019425	9	9	9	0	0	0	10	16	58.36827333	9
122	LJ9250	B+	236	Low	2	5.1	8.0076625	3.925284167	15.55757111	0	0	0	32.32205422	17.61610589	155.9915025	8	10	10	0	0	0	10	19	159.1430089	7
123	LJ9250	B+	237	Low	3	5	8.57657	3.975307778	15.31591222	0	0	0	28.60758667	16.93324649	145.660355	9	9	9	0	0	0	9	19	56.47684333	9
124	LJ9250	B+	238	Low	4	5	7.8698975	4.000851389	13.42403444	0	0	0	26.28118222	17.54863181	138.816025	8	9	9	0	0	0	9	19	59.70660333	9
125	LA7339	B+	239	Low	1	5	5.47102875	3.65018325	9.092863	0	0	0	25.453509	11.252014	113.1728667	8	10	10	0	0	0	10	18	54.25026143	7
126	LA7339	B+	240	Low	2	5.1	5.864801429	3.300171429	13.14932429	0	0	0	36.86690357	9.478471952	138.5503525	7	7	7	0	0	0	14	15	20.05723286	7
127	LA7339	B+	241	Low	3	5	7.474106667	4.256427778	13.67392889	0	0	0	32.25740121	10.35220837	137.85945	9	9	9	0	0	0	11	24	21.27455333	8
