	Medium	Treatment	Species	Replicate	Fmax	Tfmax	AUC6	AUC14	Vel_in	Vel_fn
225	Thousand	SynCom	LA7339	3	1.454850335	14	5.13802683	14.56809991	0.070252278	0.126839523
226	Thousand	SynCom	LA7339	4	2.383099592	14	8.368209657	22.6744408	0.439042251	0.444545535
227	Thousand	SynCom	PS	1	1.269946123	14	5.82877096	15.68789008	0.107172069	0.018888138
228	Thousand	SynCom	PS	2	1.378035108	14	5.515688111	15.29831217	0.043209497	0.110638429
229	Thousand	SynCom	PS	3	1.445930737	14	5.948285924	16.00550238	0.125892053	0.130433605
230	Thousand	SynCom	PS	4	1.593138424	10	6.517135881	18.45585994	0.210340767	-0.060170636
231	Thousand	SynCom	LP0049	1	2.220587951	14	8.487202502	24.55151813	0.39087382	0.162873743
232	Thousand	SynCom	LP0049	2	2.642238568	10	8.30352743	27.6095641	0.27428618	-0.280880861
233	Thousand	SynCom	LP0049	3	1.51749513	10	5.712911526	17.24921242	0.077146911	-0.001226463
234	Thousand	SynCom	LP0049	4	2.43892786	10	9.728239212	29.16995114	0.518423998	-0.010003548
235	Thousand	SynCom	LJ9250	1	1.547573113	3	6.425754096	14.7010565	0.273786556	-0.078135048
236	Thousand	SynCom	LJ9250	2	1.570323828	3	7.232056549	19.00755196	0.285161914	-0.103210085
237	Thousand	SynCom	LJ9250	3	1.36952251	14	5.732619372	15.86489768	0.100873124	0.048649386
238	Thousand	SynCom	LJ9250	4	1.84079785	14	7.581963503	21.10857264	0.405432169	0.032239355
